planner_backbone,run,plan,n_steps,tissue_segmentation_and_classification,cell_segmentation_and_classification,invokes_model_to_classify_tumour,invokes_model_to_classify_lymph_node,classification_classes,error
GPT-5.4,32,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor deposit, Negative control",
GPT-5.4,33,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=""Lymph node, Tumor, Negative control""",
GPT-5.4,34,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor deposit, Negative control",
GPT-5.4,35,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node metastasis, Negative control",
GPT-5.4,36,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor deposit, Negative control",
GPT-5.4,37,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node metastasis, Negative control",
GPT-5.4,38,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor deposit, Negative control",
GPT-5.4,39,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor deposit, Negative control",
GPT-5.4,40,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=""lymph node, tumor deposit, Negative control""",
GPT-5.4,41,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor deposit, Negative control",
GPT-5.4,42,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node metastasis, Lymph node, Negative control",
GPT-5.4,43,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor deposit, Negative control",
GPT-5.4,44,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor deposit, Negative control",
GPT-5.4,45,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5.4,46,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5.4,47,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node metastasis, Negative control",
GPT-5.4,48,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor deposit, Negative control",
GPT-5.4,49,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node metastasis, Negative control",
GPT-5.4,50,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=""Lymph node, Tumor deposit, Negative control""",
GPT-5.2,1,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Metastatic tumor, Negative control",
GPT-5.2,2,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Metastatic tumor, Negative control",
GPT-5.2,3,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5.2,4,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor deposit, Negative control",
GPT-5.2,5,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Metastatic tumor, Negative control",
GPT-5.2,6,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Metastatic tumor deposit, Negative control",
GPT-5.2,7,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Metastatic tumor deposit, Negative control",
GPT-5.2,8,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Metastatic tumor, Negative control",
GPT-5.2,9,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Metastatic tumor, Negative control",
GPT-5.2,10,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor deposit, Negative control",
GPT-5.2,11,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Metastatic tumor, Negative control",
GPT-5.2,12,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Metastatic tumor, Negative control",
GPT-5.2,13,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Metastatic tumor deposit, Negative control",
GPT-5.2,14,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Metastatic tumor, Negative control",
GPT-5.2,15,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Metastatic tumor, Negative control",
GPT-5.2,16,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Metastatic tumor, Negative control",
GPT-5.2,17,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Metastatic tumor, Negative control",
GPT-5.2,18,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Metastatic tumor, Negative control",
GPT-5.2,19,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Metastatic tumor deposit, Negative control",
GPT-5.2,20,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor deposit, Negative control",
GPT-5.2,21,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor deposit, Negative control",
GPT-5.2,22,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=""Lymph node, Metastatic tumor, Negative control""",
GPT-5.2,23,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5.2,24,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5.2,25,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5.2,26,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Metastatic tumor, Negative control",
GPT-5.2,27,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5.2,28,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Metastatic tumor, Negative control",
GPT-5.2,29,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Metastatic tumor, Negative control",
GPT-5.2,30,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Metastatic tumor deposit, Negative control",
GPT-5.2,31,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor deposit, Negative control",
GPT-5.2,32,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5.2,33,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor deposit, Negative control",
GPT-5.2,34,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor deposit, Negative control",
GPT-5.2,35,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Metastatic tumor, Negative control",
GPT-5.2,36,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor deposit, Negative control",
GPT-5.2,37,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Metastatic tumor, Negative control",
GPT-5.2,38,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5.2,39,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Metastatic tumor deposit, Negative control",
GPT-5.2,40,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Metastatic tumor, Negative control",
GPT-5.2,41,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Metastatic tumor, Negative control",
GPT-5.2,42,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor deposit, Negative control",
GPT-5.2,43,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Metastatic tumor, Negative control",
GPT-5.2,44,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5.2,45,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor deposit, Negative control",
GPT-5.2,46,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor deposit, Negative control",
GPT-5.2,47,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Metastatic tumor deposit, Negative control",
GPT-5.2,48,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Metastatic tumor deposit, Negative control",
GPT-5.2,49,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Metastatic tumor deposit, Negative control",
GPT-5.2,50,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Metastatic tumor, Negative control",
GPT-5,1,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5,2,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5,3,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5,4,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5,5,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5,6,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=""Lymph node, Tumor, Negative control""",
GPT-5,7,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5,8,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor metastasis, Negative control",
GPT-5,9,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor metastasis, Negative control",
GPT-5,10,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5,11,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=""Lymph node, Tumor, Negative control""",
GPT-5,12,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5,13,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Metastasis, Negative control",
GPT-5,14,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=""Lymph node, Tumor, Negative control""",
GPT-5,15,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5,16,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=""Lymph node, Tumor""",
GPT-5,17,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5,18,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor metastasis, Negative control",
GPT-5,19,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5,20,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,5,1,1,1,1,"classes=Lymph node, Tumor, Negative control | classes=Tumor, Negative control",
GPT-5,21,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor deposit, Negative control",
GPT-5,22,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5,23,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5,24,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Metastatic tumor, Negative control",
GPT-5,25,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5,26,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor metastasis, Negative control",
GPT-5,27,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5,28,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5,29,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5,30,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=""Lymph node, Tumor, Negative control""",
GPT-5,31,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Metastatic tumor, Negative control",
GPT-5,32,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5,33,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5,34,"TissueSeg:MuskEmbedding → TissueClassify,:MuskClassification → CodingAgent:GPT-4o Agent",3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5,35,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=""Lymph node, Tumor, Negative control""",
GPT-5,36,"TissueSeg:MuskEmbedding → TissueClassify,:MuskClassification → CodingAgent:GPT-4o Agent",3,1,0,1,1,"classes=""Lymph node, Tumor, Negative control""",
GPT-5,37,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5,38,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5,39,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5,40,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5,41,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5,42,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5,43,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=""Lymph node, Tumor, Negative control""",
GPT-5,44,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=""Lymph node, Tumor, Negative control""",
GPT-5,45,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=""Lymph node, Tumor, Negative control""",
GPT-5,46,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=""Lymph node, Metastasis, Negative control""",
GPT-5,47,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=""Lymph node, Tumor, Negative control""",
GPT-5,48,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5,49,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5,50,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-4o,1,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,1,0,"classes=Tumor, Negative control",
GPT-4o,2,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,0,0,,
GPT-4o,3,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,1,0,"classes=Tumor, Negative control",
GPT-4o,4,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,1,0,"classes=Tumor, Negative control",
