slide_name,ground_truth,TLAgent,Quilt-LLaVA,LLaVA-Med,MedGemma,GPT-4o-agent,GPT-4o-vision,GPT-5-vision
AI-LNCO2-0026_J_HE,0,0,10,N/A,10,6,2,1
AI-LNCO2-0026_K_HE,0,0,6,N/A,2,N/A,1,0
AI-LNCO2-0026_L_HE,0,0,6,N/A,2,0,2,2
AI-LNCO2-0026_M_HE,0,0,2,N/A,5,N/A,2,1
AI-LNCO2-0026_N_HE,1,4,14,N/A,3,0,1,2
AI-LNCO2-0026_O_HE,2,2,6,N/A,5,N/A,1,0
AI-LNCO2-0026_P_HE,0,0,6,N/A,3,N/A,0,1
AI-LNCO2-0026_Q_HE,0,0,6,N/A,2,N/A,0,1
AI-LNCO2-0026_R_HE,0,0,11,N/A,3,N/A,1,0
AI-LNCO2-0026_S_HE,1,1,15,N/A,3,N/A,1,1
AI-LNCO2-0026_U_HE,0,0,10,N/A,5,N/A,2,0
AI-LNCO2-0027_F_HE,0,0,6,N/A,2,26,1,0
AI-LNCO2-0027_H_HE,1,1,2,N/A,5,1,2,0
AI-LNCO2-0027_J_HE,0,0,2,N/A,12,0,3,0
AI-LNCO2-0027_K_HE,0,0,2,N/A,3,N/A,2,0
AI-LNCO2-0027_L_HE,1,0,6,N/A,5,0,3,0
AI-LNCO2-0027_M_HE,0,0,6,N/A,5,0,1,0
AI-LNCO2-0027_N_HE,3,2,14,N/A,3,N/A,3,0
AI-LNCO2-0027_O_HE,0,0,15,N/A,5,0,2,2
AI-LNCO2-0027_P_HE,0,0,6,N/A,3,0,3,0
AI-LNCO2-0027_Q_HE,0,0,2,N/A,3,20,1,0
AI-LNCO2-0030_H_HE,0,0,6,N/A,3,4,1,0
AI-LNCO2-0030_J_HE,0,0,N/A,N/A,3,N/A,1,0
AI-LNCO2-0030_K_HE,0,0,10,N/A,5,N/A,2,0
AI-LNCO2-0030_L_HE,0,0,2,N/A,2,3,1,1
AI-LNCO2-0030_M_HE,0,0,6,N/A,6,4,3,0
AI-LNCO2-0030_N_HE,0,0,6,N/A,N/A,0,1,1
AI-LNCO2-0030_O_HE,0,0,2,N/A,3,3,1,1
AI-LNCO2-0030_P_HE,0,0,3,N/A,1,N/A,3,0
AI-LNCO2-0030_Q_HE,0,0,25,N/A,N/A,1,2,0
AI-LNCO2-0030_R_HE,0,0,10,N/A,3,N/A,1,0
AI-LNCO2-0030_S_HE,0,0,N/A,N/A,5,0,1,0
AI-LNCO2-0032_K_HE,0,0,2,N/A,2,N/A,0,0
AI-LNCO2-0032_L_HE,1,1,2,N/A,5,2,3,0
AI-LNCO2-0032_M_HE,0,0,6,N/A,5,N/A,1,0
AI-LNCO2-0032_N_HE,0,0,10,N/A,5,N/A,0,0
AI-LNCO2-0032_O_HE,2,3,10,N/A,5,6,1,2
AI-LNCO2-0032_Q_HE,0,0,6,N/A,15,1,0,0
AI-LNCO2-0032_R_HE,1,1,N/A,N/A,3,N/A,1,1
AI-LNCO2-0032_S_HE,1,1,N/A,N/A,5,15,1,0
AI-LNCO2-0032_T_HE,2,2,6,N/A,5,N/A,2,2
AI-LNCO2-0032_U_HE,2,2,6,N/A,3,2,2,2
AI-LNCO2-0032_V_HE,1,1,6,N/A,3,0,1,0
AI-LNCO2-0032_W_HE,2,2,10,N/A,3,2,2,2
AI-LNCO2-0032_X_HE,0,0,2,N/A,10,N/A,0,0
AI-LNCO2-0032_Y_HE,1,1,3,N/A,3,2,1,0
AI-LNCO2-0032_ZA_HE,0,0,2,N/A,2,0,0,0
AI-LNCO2-0032_ZB_HE,5,5,2,N/A,5,16,4,4
AI-LNCO2-0032_ZC_HE,0,0,4,N/A,5,1,5,0
AI-LNCO2-0032_ZE_HE,0,0,2,N/A,2,N/A,0,0
AI-LNCO2-0032_ZF_HE,0,3,15,N/A,5,0,0,0
AI-LNCO2-0032_ZG_HE,0,0,2,N/A,5,0,4,0
AI-LNCO2-0032_ZH_HE,0,0,6,N/A,5,0,3,3
AI-LNCO2-0032_ZJ_HE,0,0,6,N/A,5,4,4,2
AI-LNCO2-0032_ZK_HE,0,0,11,N/A,5,1,3,0
AI-LNCO2-0032_ZL_HE,0,0,3,N/A,5,2,3,0
AI-LNCO2-0032_Z_HE,0,0,6,N/A,3,1,1,0
AI-LNCO2-0033_J_NBB,2,3,3,N/A,6,5,1,0
AI-LNCO2-0033_K_NBB,1,1,14,N/A,3,0,1,1
AI-LNCO2-0033_L_NBB,0,0,10,N/A,N/A,12,2,2
AI-LNCO2-0033_M_NBB,0,0,4,N/A,5,2,3,0
AI-LNCO2-0033_N_NBB,0,0,3,N/A,3,0,3,0
AI-LNCO2-0033_O_NBB,0,0,2,N/A,10,19,2,0
AI-LNCO2-0033_P_NBB,0,0,2,N/A,5,9,3,7
AI-LNCO2-0033_Q_NBB,0,0,3,N/A,3,1,3,0
AI-LNCO2-0033_R_NBB,0,0,2,N/A,N/A,3,4,4
AI-LNCO2-0035_E_HE,1,8,15,N/A,3,2,1,0
AI-LNCO2-0035_M_NBB,4,3,6,N/A,3,0,4,2
AI-LNCO2-0035_N_NBB,2,1,6,N/A,5,1,3,3
AI-LNCO2-0035_O_NBB,0,0,2,N/A,4,0,2,4
AI-LNCO2-0035_P_NBB,1,0,2,N/A,5,12,2,0
AI-LNCO2-0035_Q_NBB,4,2,6,N/A,3,0,1,1
AI-LNCO2-0035_R_NBB,1,3,2,N/A,3,2,2,1
AI-LNCO2-0035_S_NBB,2,3,2,N/A,5,0,2,2
AI-LNCO2-0035_T_NBB,0,0,2,N/A,3,0,3,3
AI-LNCO2-0036_F_HE,0,3,6,N/A,3,N/A,1,0
AI-LNCO2-0036_J_HE,1,1,11,N/A,5,16,2,0
AI-LNCO2-0036_K_HE,0,0,2,N/A,5,0,0,0
AI-LNCO2-0036_L_HE,0,0,2,N/A,N/A,N/A,1,0
AI-LNCO2-0036_M_HE,2,2,6,N/A,5,4,2,0
AI-LNCO2-0036_N_HE,2,0,6,N/A,5,0,3,0
AI-LNCO2-0036_O_HE,0,0,14,N/A,N/A,3,2,0
AI-LNCO2-0036_P_HE,0,0,6,N/A,5,0,3,0
AI-LNCO2-0036_Q_HE,0,0,2,N/A,5,1,4,4
AI-LNCO2-0036_S_HE,4,7,6,N/A,3,0,1,1
AI-LNCO2-0036_T_HE,2,2,6,N/A,5,N/A,4,0
AI-LNCO2-0036_U_HE,3,1,11,N/A,3,0,3,2
AI-LNCO2-0036_V_HE,2,3,2,N/A,N/A,N/A,3,2
AI-LNCO2-0036_W_HE,2,7,2,N/A,N/A,5,2,1
AI-LNCO2-0036_Y_HE,0,0,2,N/A,2,2,0,2
AI-LNCO2-0037_J_HE,0,0,1,N/A,2,0,2,2
AI-LNCO2-0037_L_HE,0,0,N/A,N/A,3,2,0,0
AI-LNCO2-0037_N_HE,0,0,2,N/A,2,N/A,0,0
AI-LNCO2-0037_O_HE,0,0,8,N/A,5,0,3,0
AI-LNCO2-0037_P_HE,0,0,2,N/A,6,1,2,0
AI-LNCO2-0037_Q_HE,0,0,6,N/A,6,9,4,0
AI-LNCO2-0037_R_HE,0,0,6,N/A,6,4,1,0
AI-LNCO2-0037_S_HE,2,5,6,N/A,3,0,1,1
AI-LNCO2-0037_T_HE,2,1,6,N/A,3,N/A,1,0
AI-LNCO2-0037_U_HE,0,0,2,N/A,5,1,2,0
AI-LNCO2-0037_V_HE,0,0,6,N/A,6,6,3,4
AI-LNCO2-0037_W_HE,0,0,6,N/A,5,5,3,0
AI-LNCO2-0037_X_HE,0,0,2,N/A,5,0,1,1
AI-LNCO2-0037_Y_HE,0,0,2,N/A,5,0,1,2
AI-LNCO2-0039_H_HE,0,2,4,N/A,N/A,4,0,0
AI-LNCO2-0039_L_HE,0,0,10,N/A,N/A,1,1,0
AI-LNCO2-0039_M_HE,0,0,2,N/A,N/A,0,0,0
AI-LNCO2-0039_N_HE,0,0,6,N/A,5,N/A,5,0
AI-LNCO2-0039_O_HE,0,0,1,N/A,3,8,1,0
AI-LNCO2-0039_P_HE,0,0,11,N/A,N/A,6,2,0
AI-LNCO2-0039_Q_HE,0,0,N/A,N/A,3,N/A,0,0
AI-LNCO2-0039_R_HE,0,0,1,N/A,3,0,2,0
AI-LNCO2-0039_S_HE,0,0,2,N/A,5,0,1,0
AI-LNCO2-0039_T_HE,0,0,2,N/A,3,N/A,2,1
AI-LNCO2-0040_C_HE,1,3,15,N/A,N/A,0,2,0
AI-LNCO2-0040_E_HE,0,1,15,N/A,N/A,0,1,1
AI-LNCO2-0040_L_HE,0,0,6,N/A,1,N/A,0,0
AI-LNCO2-0040_M_HE,0,0,10,N/A,1,1,0,0
AI-LNCO2-0040_N_HE,0,0,N/A,N/A,N/A,N/A,0,0
AI-LNCO2-0040_O_HE,0,0,6,N/A,6,0,2,0
AI-LNCO2-0040_P_HE,0,0,6,N/A,3,N/A,0,0
AI-LNCO2-0040_Q_HE,0,0,6,N/A,5,3,1,0
AI-LNCO2-0040_R_HE,0,0,6,N/A,2,N/A,0,0
AI-LNCO2-0040_S_HE,0,0,2,N/A,3,8,3,0
AI-LNCO2-0040_T_HE,0,0,14,N/A,6,N/A,0,2
AI-LNCO2-0040_U_HE,0,0,2,N/A,6,0,3,0
AI-LNCO2-0040_V_HE,0,0,2,N/A,3,0,1,0
AI-LNCO2-0040_W_HE,0,0,6,N/A,5,0,4,4
AI-LNCO2-0041_K_HE,0,0,6,N/A,5,N/A,4,3
AI-LNCO2-0041_L_HE,0,0,6,N/A,5,N/A,1,0
AI-LNCO2-0041_M_HE,0,0,2,N/A,5,3,1,1
AI-LNCO2-0041_N_HE,0,0,6,N/A,15,0,0,0
AI-LNCO2-0041_O_HE,0,0,6,N/A,5,11,2,0
AI-LNCO2-0041_P_HE,0,0,2,N/A,3,1,0,0
AI-LNCO2-0041_Q_HE,0,0,6,N/A,3,5,0,0
AI-LNCO2-0041_R_HE,0,0,2,N/A,5,0,0,0
AI-LNCO2-0041_S_HE,0,0,10,N/A,3,0,1,0
AI-LNCO2-0041_T_HE,0,0,6,N/A,5,N/A,3,3
AI-LNCO2-0041_U_HE,0,0,2,N/A,5,3,2,0
AI-LNCO2-0041_V_HE,0,0,6,N/A,5,0,3,1
AI-LNCO2-0041_W_HE,0,0,6,N/A,5,0,2,0
AI-LNCO2-0041_X_HE,0,0,6,N/A,5,0,3,0
AI-LNCO2-0041_ZA_HE,0,0,2,N/A,5,N/A,3,0
AI-LNCO2-0041_ZB_HE,0,0,6,N/A,5,0,4,4
AI-LNCO2-0041_ZC_HE,0,0,2,N/A,5,6,3,1
AI-LNCO2-0041_ZD_HE,0,0,2,N/A,4,4,2,0
AI-LNCO2-0041_ZE_HE,0,0,6,N/A,5,8,5,0
AI-LNCO2-0041_ZF_HE,0,0,2,N/A,5,36,3,0
AI-LNCO2-0041_Z_HE,0,0,6,N/A,5,5,3,0
AI-LNCO2-0042_M_HE,0,0,2,N/A,5,0,3,3
AI-LNCO2-0042_N_HE,0,0,2,N/A,5,3,3,0
AI-LNCO2-0042_O_HE,0,0,2,N/A,3,4,2,0
AI-LNCO2-0042_P_HE,0,0,2,N/A,3,N/A,2,0
AI-LNCO2-0042_Q_HE,0,0,2,N/A,5,4,3,3
AI-LNCO2-0042_R_HE,0,0,2,N/A,N/A,0,1,0
AI-LNCO2-0042_S_HE,0,0,2,N/A,3,1,3,0
AI-LNCO2-0042_T_HE,0,0,6,N/A,2,N/A,1,2
AI-LNCO2-0042_U_HE,0,0,2,N/A,5,0,3,5
AI-LNCO2-0042_V_HE,0,0,6,N/A,5,4,2,1
AI-LNCO2-0042_W_HE,0,0,2,N/A,5,0,3,3
AI-LNCO2-0042_X_HE,0,0,2,N/A,5,0,2,0
AI-LNCO2-0042_Y_HE,0,0,6,N/A,5,0,2,1
AI-LNCO2-0042_ZA_HE,0,0,2,N/A,5,6,2,2
AI-LNCO2-0042_Z_HE,0,0,1,N/A,5,10,2,3
AI-LNCO2-0044_N_HE,2,2,6,N/A,5,N/A,3,4
AI-LNCO2-0044_O_HE,0,0,10,N/A,5,0,3,3
AI-LNCO2-0044_P_HE,0,0,2,N/A,5,6,2,2
AI-LNCO2-0044_Q_HE,0,0,6,N/A,5,5,5,2
AI-LNCO2-0044_R_HE,0,0,6,N/A,4,4,2,3
AI-LNCO2-0044_S_HE,0,0,6,N/A,5,0,2,2
AI-LNCO2-0045_J_HE,0,0,6,N/A,5,4,3,0
AI-LNCO2-0045_K_HE,0,0,6,N/A,5,0,1,0
AI-LNCO2-0045_L_HE,0,0,6,N/A,5,0,4,2
AI-LNCO2-0045_M_HE,0,0,6,N/A,6,0,2,0
AI-LNCO2-0045_N_HE,0,0,6,N/A,3,3,0,0
AI-LNCO2-0045_O_HE,0,0,6,N/A,10,N/A,1,0
AI-LNCO2-0045_P_HE,0,0,6,N/A,15,0,2,0
AI-LNCO2-0045_Q_HE,0,0,2,N/A,5,N/A,1,0
AI-LNCO2-0045_R_HE,0,0,2,N/A,5,56,3,0
AI-LNCO2-0045_S_HE,0,0,3,N/A,3,0,5,4
AI-LNCO2-0045_T_HE,0,0,2,N/A,5,1,2,0
AI-LNCO2-0045_U_HE,0,0,2,N/A,5,0,3,0
AI-LNCO2-0045_V_HE,0,0,6,N/A,5,4,2,3
AI-LNCO2-0045_W_HE,0,0,1,N/A,3,N/A,1,1
AI-LNCO2-0049_H_HE,0,0,N/A,N/A,5,N/A,0,0
AI-LNCO2-0049_K_HE,0,0,6,N/A,3,36,1,1
AI-LNCO2-0049_L_HE,0,0,6,N/A,5,N/A,2,0
AI-LNCO2-0049_M_HE,0,0,6,N/A,6,0,2,0
AI-LNCO2-0049_N_HE,1,2,6,N/A,5,5,2,1
AI-LNCO2-0049_O_HE,0,0,2,N/A,5,0,1,0
AI-LNCO2-0049_P_HE,0,0,6,N/A,6,0,5,6
AI-LNCO2-0049_Q_HE,0,0,6,N/A,5,1,4,0
AI-LNCO2-0049_R_HE,0,0,2,N/A,5,N/A,2,0
AI-LNCO2-0049_S_HE,0,0,6,N/A,5,16,3,0
AI-LNCO2-0049_T_HE,0,0,6,N/A,6,0,1,0
AI-LNCO2-0049_U_HE,1,0,6,N/A,6,0,6,5
AI-LNCO2-0049_V_HE,0,0,20,N/A,5,1,2,2
AI-LNCO2-0049_W_HE,0,0,20,N/A,4,1,3,6
